,Name,Farms,"Forestry, fishing, and related activities",Oil and gas extraction,"Mining, except oil and gas",Support activities for mining,Utilities,Construction,Wood products,Nonmetallic mineral products,Primary metals,Fabricated metal products,Machinery,Computer and electronic products,"Electrical equipment, appliances, and components","Motor vehicles, bodies and trailers, and parts",Other transportation equipment,Furniture and related products,Miscellaneous manufacturing,Food and beverage and tobacco products,Textile mills and textile product mills,Apparel and leather and allied products,Paper products,Printing and related support activities,Petroleum and coal products,Chemical products,Plastics and rubber products,Wholesale trade,Motor vehicle and parts dealers,Food and beverage stores,General merchandise stores,Other retail,Air transportation,Rail transportation,Water transportation,Truck transportation,Transit and ground passenger transportation,Pipeline transportation,Other transportation and support activities,Warehousing and storage,"Publishing industries, except internet (includes software)",Motion picture and sound recording industries,Broadcasting and telecommunications,"Data processing, internet publishing, and other information services","Federal Reserve banks, credit intermediation, and related activities","Securities, commodity contracts, and investments",Insurance carriers and related activities,"Funds, trusts, and other financial vehicles",Housing,Other real estate,Rental and leasing services and lessors of intangible assets,Legal services,Computer systems design and related services,"Miscellaneous professional, scientific, and technical services",Management of companies and enterprises,Administrative and support services,Waste management and remediation services,Educational services,Ambulatory health care services,Hospitals,Nursing and residential care facilities,Social assistance,"Performing arts, spectator sports, museums, and related activities","Amusements, gambling, and recreation industries",Accommodation,Food services and drinking places,"Other services, except government",Federal general government (defense),Federal general government (nondefense),Federal government enterprises,State and local general government,State and local government enterprises,Total Commodity Output,Imports,CIF/FOB Adjustments on Imports,Total product supply (basic prices),Trade margins,Transport margins,Total trade and transportation margins,Import duties,Tax on products,Subsidies on products,Total tax less subsidies on products,Total product supply (purchaser prices)
34,Truck transportation,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,33,---,---,---,---,---,---,459677,---,---,2537,2482,---,---,---,---,---,---,---,---,---,---,934,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,465663,0,-6326,459337,---,-409166,-409166,---,410,---,410,50582
35,Transit and ground passenger transportation,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,68543,---,455,---,---,---,---,---,---,---,---,---,---,---,49,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,9475,78522,---,---,78522,---,---,---,---,1237,0,1237,79759
36,Pipeline transportation,---,---,---,---,---,3714,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,1068,---,---,---,---,---,---,---,---,---,62411,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,67193,---,---,67193,---,-66484,-66484,---,76,---,76,786
37,Other transportation and support activities,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,1572,588,---,---,5578,586,---,1828,5554,72,---,331437,566,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,19,---,---,---,---,---,---,---,---,---,---,---,---,---,---,15546,363347,41,-5228,358159,---,---,---,---,454,---,454,358614
38,Warehousing and storage,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,19,454,---,---,64,---,---,---,5962,---,---,2255,180520,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,189273,---,---,189273,---,---,---,---,252,---,252,189525
39,"Publishing industries, except internet (includes software)",---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,373438,---,---,20772,---,---,---,---,---,---,---,---,3089,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,272,---,556,---,398127,4546,---,402672,130897,6910,137807,45,11034,---,11078,551558
40,Motion picture and sound recording industries,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,1744,---,---,---,---,---,---,---,---,---,159078,973,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,47,---,0,1,---,161843,10765,---,172608,16887,234,17121,0,2465,---,2465,192195
41,Broadcasting and telecommunications,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,54,---,---,---,---,---,---,---,---,---,---,735522,357,---,---,---,---,---,---,---,---,223,---,---,---,---,---,---,---,---,---,---,---,229,---,---,---,---,---,---,---,736385,160,---,736545,---,---,---,---,38879,---,38879,775424
42,"Data processing, internet publishing, and other information services",---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,12995,---,---,369734,---,---,---,---,---,---,---,---,17077,3835,---,---,---,---,---,---,---,---,---,---,---,---,396,16,---,---,2403,---,406456,1796,---,408252,---,---,---,0,1310,---,1310,409562
43,"Federal Reserve banks, credit intermediation, and related activities",---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,6090,508,---,296,---,---,---,---,---,---,---,---,---,---,---,---,952348,30819,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,24,990084,46,---,990129,---,---,---,---,0,-276,-276,989853
44,"Securities, commodity contracts, and investments",---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,39619,744040,1111,---,---,---,9,---,---,811,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,785590,58,---,785647,---,---,---,---,1676,---,1676,787323
45,Insurance carriers and related activities,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,133,---,---,---,---,---,---,9111,1359376,---,---,162,1146,---,---,---,---,77,---,102,---,---,---,---,---,---,---,---,---,---,---,11129,---,-87,1381149,59502,-1101,1439550,---,---,---,---,30837,-9083,21754,1461304
46,"Funds, trusts, and other financial vehicles",---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,192261,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,121,---,30367,---,222748,---,---,222748,---,---,---,---,64,---,64,222813
47,Housing,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,2411827,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,47503,2459331,---,---,2459331,---,---,---,---,0,-60511,-60511,2398820
48,Other real estate,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,9,---,---,---,---,67,---,---,---,---,---,---,---,1566952,2904,---,---,---,---,367,---,83,---,---,126,---,1272,62,1081,---,1751,---,---,820,---,27651,1603145,---,---,1603145,---,---,---,---,1749,-9738,-7989,1595157
49,Rental and leasing services and lessors of intangible assets,---,---,---,---,---,---,---,---,---,---,---,16,---,---,---,---,---,---,---,---,---,---,---,---,---,---,15092,1172,329,294,5041,101,334,---,440,---,---,116,10,1,180,10292,460,69957,---,---,---,---,---,374938,---,415,17,---,58,579,94,4210,1826,---,---,1773,298,1497,---,338,---,---,---,---,---,489878,---,---,489878,---,---,---,---,20401,---,20401,510278
50,Legal services,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,528,---,---,---,---,400044,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,400572,5408,---,405980,---,---,---,---,22028,---,22028,428008
51,Computer systems design and related services,---,---,114,0,48,459,423,17,32,85,302,783,1605,311,277,699,68,471,118,12,8,82,237,47,541,179,19872,6,10,0,1802,138,217,16,136,---,26,300,170,20508,254,2006,31944,5279,1762,5891,11,76,344,129,407,491685,14159,15299,10945,27,4222,1182,2768,22,145,73,41,95,0,857,2417,2534,641,5444,---,650781,33478,---,684259,---,---,---,---,5573,---,5573,689832
52,"Miscellaneous professional, scientific, and technical services",---,---,1178,131,754,162,303,120,980,491,2900,9998,66920,3253,14391,35407,276,15136,3266,326,256,696,14965,801,71208,1909,1638,47,24,527,10938,3615,688,114,663,50,371,2047,1082,57359,5758,134349,223428,2685,1257,3800,187,28,285,105,298,19233,1840920,7475,14622,100,37447,507,8171,46,16,11917,13,2,0,1608,26697,28079,---,61736,---,2755757,123060,---,2878817,---,---,---,3,6933,---,6936,2885753
53,Management of companies and enterprises,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,708435,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,708435,---,---,708435,---,---,---,---,1871,---,1871,710307
54,Administrative and support services,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,106,---,---,---,36,---,249,237,2323,---,---,---,---,---,---,154,---,713,---,---,938,---,---,---,---,---,---,---,---,5904,3670,---,1207269,---,---,---,---,---,---,---,---,0,---,---,---,---,---,9490,---,1231088,3711,---,1234799,---,---,---,---,7983,---,7983,1242782
55,Waste management and remediation services,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,2686,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,228,123339,---,---,---,---,---,---,---,---,---,---,---,---,---,14951,---,141204,451,---,141655,---,---,---,---,2158,---,2158,143813
56,Educational services,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,54,---,---,507,---,---,---,---,---,---,---,---,11797,---,---,1407,---,---,---,---,---,---,3,---,2318,---,---,212,---,318225,---,---,---,---,75,1533,---,---,33,262,---,---,99781,---,436208,2290,---,438498,---,---,---,---,402,---,402,438900
57,Ambulatory health care services,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,1710,601,71,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,24,---,---,1204447,9482,1518,446,---,---,---,---,---,---,---,---,37578,---,1255877,---,---,1255877,---,---,---,---,761,---,761,1256637
58,Hospitals,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,1007031,---,---,---,---,---,---,---,1665,2018,---,237427,---,1248141,8549,---,1256690,---,---,---,---,2618,-9,2610,1259300
59,Nursing and residential care facilities,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,258364,2537,---,---,---,---,---,---,---,---,---,---,260900,---,---,260900,---,---,---,---,3612,---,3612,264513
60,Social assistance,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,77,---,---,---,---,152,255391,---,622,---,---,404,---,---,---,3816,---,260463,---,---,260463,---,---,---,---,1217,---,1217,261680
61,"Performing arts, spectator sports, museums, and related activities",---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,1636,---,---,---,---,160913,120,1399,---,---,23,---,---,3377,174,167644,1481,---,169125,---,---,---,---,4180,---,4180,173305
62,"Amusements, gambling, and recreation industries",2071,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,315,281,---,328,---,---,104,---,---,---,---,---,---,1154,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,3609,109353,30249,1374,---,---,---,---,2906,37988,189731,---,---,189731,---,---,---,---,14466,---,14466,204197
63,Accommodation,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,25,---,---,---,---,---,---,---,18936,---,---,---,---,118,74,156871,217,---,---,---,---,10648,---,186890,---,---,186890,---,---,---,---,18702,---,18702,205592
64,Food services and drinking places,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,23468,10689,21732,---,---,---,---,---,---,88,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,7965,235,2979,379,---,4721,12817,39429,970365,3928,---,---,1415,10799,---,1111010,---,---,1111010,---,---,---,---,71156,---,71156,1182166
65,"Other services, except government",---,---,---,---,---,---,---,---,---,---,125,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,74344,87744,27,4611,23757,---,---,---,---,---,---,1831,---,---,---,2767,---,---,---,---,---,---,86,2254,---,2387,2985,---,---,---,16,---,---,---,---,469,810,1591,---,722631,---,---,0,1231,3111,932775,3742,---,936517,---,---,---,9,24542,---,24550,961068
66,Federal general government (defense),---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,713008,---,---,---,---,713008,---,---,713008,---,---,---,---,0,---,0,713008
67,Federal general government (nondefense),---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,533783,---,---,---,533783,---,---,533783,---,---,---,---,0,---,0,533783
68,Federal government enterprises,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,675,69491,---,---,70166,273,---,70439,---,---,---,---,0,---,0,70439
69,State and local general government,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,2106940,---,2106940,---,---,2106940,---,---,---,---,0,---,0,2106940
70,State and local government enterprises,---,---,---,---,---,2137,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,113029,115166,---,---,115166,---,---,---,---,0,---,0,115166
71,"Scrap, used and secondhand goods",---,---,---,---,---,---,---,57,10,795,1209,173,---,---,772,63,---,---,4,0,---,384,61,---,---,69,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,847,---,---,---,---,---,---,---,---,224,---,---,---,---,4280,---,8949,25622,---,34571,164836,42776,207612,94,20392,---,20485,262669
72,Noncomparable imports and rest-of-the-world adjustment,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,4226,---,---,---,4226,217988,-54,222160,---,---,---,---,0,---,0,222160
73,Total industry supply,484432,58768,444610,106148,63623,612217,1961969,149899,146149,262381,393546,414469,401911,144326,732951,307867,79590,182657,1031404,52238,22529,191663,78671,607582,843380,246709,2139029,321939,269412,245017,1261629,171345,88657,44442,475440,68700,63106,344004,184849,496506,166947,892901,651911,1069890,786990,1370708,192459,2429886,1568978,384454,400774,546790,1873748,731261,1238822,125175,390500,1222830,1033961,260652,258870,186668,129234,235167,975743,739712,744145,572449,101439,2679952,416766,40575547,3070129,-29001,43616675,0,0,0,89101,843309,-103194,829217,44445892
