Name,"Agriculture, forestry, fishing, and hunting",Mining,Utilities,Construction,Manufacturing,Wholesale trade,Retail trade,Transportation and warehousing,Information,"Finance, insurance, real estate, rental, and leasing",Professional and business services,"Educational services, health care, and social assistance","Arts, entertainment, recreation, accommodation, and food services","Other services, except government",Government,Total Intermediate,Personal consumption expenditures,Private fixed investment,Change in private inventories,Exports of goods and services,Government consumption expenditures and gross investment,Total use of products
"Agriculture, forestry, fishing, and hunting",131951,205,---,4938,361145,1905,4429,165,---,7,3161,279,13510,305,8934,530936,206441,---,-6895,84924,---,815406
Mining,2295,82369,54149,33376,414870,62,40,247,1733,622,2916,633,1461,932,35971,631676,61,79979,439,127875,---,840031
Utilities,5092,10752,42391,7645,57740,22971,51091,20610,7365,149311,22494,20639,38791,4022,38179,499094,306712,---,---,3573,---,809379
Construction,1685,3236,8097,275,12455,2351,5398,7194,2747,184213,2043,1421,2992,3689,106772,344569,---,1339778,---,115,367192,2051653
Manufacturing,133667,95986,46886,733173,2379870,118487,116511,163025,120872,116028,270208,275834,174626,72546,582477,5400196,4680651,1297203,-6454,1135707,148409,12655713
Wholesale trade,1396,195,1637,114,25852,56193,30802,316,3050,11346,363,611,169,40,42,132127,---,---,---,2805,---,134933
Retail trade,---,---,---,---,---,---,3994,---,---,---,---,---,---,19,---,4012,10275,---,---,---,---,14288
Transportation and warehousing,609,2880,14597,699,50890,97486,104559,189688,20779,24431,61659,17949,8437,5084,40103,639850,214082,---,---,44254,---,898185
Information,417,1672,4516,10050,20332,27421,34166,19435,263770,63981,153464,44556,24481,17129,112175,797565,706747,319225,7200,77011,20990,1928738
"Finance, insurance, real estate, rental, and leasing",36405,37016,21787,66010,88826,200270,252550,144168,104937,1535980,355900,333660,154848,84218,251270,3667844,3811539,205411,---,285042,---,7965548
Professional and business services,3769,55639,49659,144341,317990,380924,311053,142202,354437,653943,891642,326685,224322,64446,329399,4250451,305821,1024058,---,270431,245445,6100496
"Educational services, health care, and social assistance",18,---,174,5,51,1744,7398,258,245,67,2635,48072,5154,7132,48681,121634,3345318,---,---,14077,---,3481029
"Arts, entertainment, recreation, accommodation, and food services",633,532,4197,1305,8334,12116,13992,25151,36688,89926,100761,62796,45168,9689,26171,437460,1318316,6284,---,3200,---,1765260
"Other services, except government",709,749,755,11492,19925,40340,26872,21279,11817,38944,42737,30315,21393,9389,53067,329784,631191,---,---,93,---,961068
Government,13,3,4660,5,3177,13853,7417,15201,2923,17777,10054,8109,6101,2076,9917,101286,83445,---,---,874,3353731,3539336
"Scrap, used and secondhand goods",65,1914,10958,4059,43610,---,486,-1978,1,-44,1156,536,918,5089,-9,66761,288607,-156030,-13381,51762,24950,262669
Noncomparable imports and rest-of-the-world adjustment,750,1428,1059,1660,16854,5267,4473,20371,8802,51946,5799,730,3357,388,11553,134438,-6631,16684,---,77670,---,222160
Total Intermediate,319476,294578,265522,1019148,3821921,981391,975231,767332,940166,2938478,1926990,1172825,725729,286194,1654702,18089683,15902575,4132592,-19091,2179415,4160717,44445892
Compensation of employees,61364,67307,93294,635566,1183656,605994,745483,457113,507857,1179563,2242330,1670227,538307,350173,2210905,12549140,---,---,---,---,---,---
Other taxes on production,12678,32872,39202,10699,68527,15335,26430,20719,18735,382081,32266,39281,19831,12331,---,730987,---,---,---,---,---,---
Less: Other subsidies on production,8930,3336,591,34882,30937,11163,23078,32508,7092,10813,41156,58742,95947,19574,---,378750,---,---,---,---,---,---
Gross operating surplus,158612,222959,214790,331437,1246756,547472,373931,227885,748600,3314056,756142,343221,338892,110589,649144,9584486,---,---,---,---,---,---
Value Added (basic prices),223724,319802,346695,942821,2468002,1157638,1122766,673210,1268099,4864887,2989581,1993987,801083,453519,2860049,22485863,---,---,---,---,---,---
Total industry output (basic prices),543200,614380,612217,1961969,6289923,2139029,2097998,1440542,2208265,7803365,4916571,3166812,1526812,739712,4514751,40575547,---,---,---,---,---,---
Taxes on products and imports,640,14133,31741,2482,29177,286859,268361,20434,45157,52561,47931,11576,104389,16333,639,932411,---,---,---,---,---,---
Less: Subsidies on products,17796,---,---,---,374,---,---,5407,0,31800,---,9,---,---,47807,103194,---,---,---,---,---,---
Value Added (producer prices),206568,333935,378436,945303,2496804,1444497,1391128,688237,1313256,4885647,3037512,2005555,905472,469851,2812880,23315081,---,---,---,---,---,---